"Abraeniana Museum","Divine Word College of Bangued, Bangued, Abra",
"Aera Memorial Museum","Villa Escudero, Tiaong, Quezon","(049) 561-3808"
"Arella-Suguitan Museum","243 Olega Street, Brgy. Gomez Poblacion, Lopez, Quezon",
"Baguio-Mountain Provinces Museum","Governor Park Road, DOT Compound, Baguio City","(074) 444-7541"
"Baldomero Aguinaldo Shrine","Kawit, Cavite",
"Barasoain Church","Malolos City, Bulacan",
"Baroro Museum","Loling Bldg., Baroro, Bacnotan, La Union","(072) 720-1266"
"BenCab Museum","Km. 6 Asin Road, Tadiangan, Tuba, Benguet","(074) 442-7165"
"Bicol Science and Technology Museum","J. Miranda Avenue, Naga City, Camarines Sur","(054) 472-4121"
"Bonifacio Trial House","Maragondon, Cavite",
"Bontoc Museum","Bontoc, Mountain Province",
"Brillantes Ancestral House","Tayum, Abra","(077) 752-8222"
"Buridek Museum","Mira Hills, Vigan City, Ilocos Sur","(077) 673-0935"
"Cagayan Museum and Historical Research Center","Expo Bldg., Provincial Capitol Compound, Tuguegarao City, Cagayan","(078) 846-7337"
"Casa de Segunda","198 Calle Rizal, Lipa City, Batangas","(043) 784-1952"
"Casa Real Shrine","Malolos City, Bulacan",
"Central Luzon Agricultural Museum","Center for Central Luzon Studies, Central Luzon State University, Science City of Muñoz, Nueva Ecija","(044) 456-0688"
"Clark Museum","Bldg. 2425, E. Quirino Street, Tourism Promotions Office, Clark Freeport Zone, Pampanga","(045) 599-6235, (045) 599-3222"
"Dagupan City Museum","A.B. Fernandez Avenue, Dagupan City, Pangasinan",
"Divine Word College Museum","Divine Word College, Laoag City, Ilocos Norte","(077) 772-1228, (077) 772-0062"
"Emilio Aguinaldo Shrine","Kawit, Cavite",
"Gen. Emilio Aguinaldo Museum","Happy Glen Loop, Baguio City","(072) 444-8334"
"Gintong Yaman ng Quezon Museum","Capitol Compound, Lucena City, Quezon","(042) 710-2966"
"IRRI Riceworld Museum and Learning Center","International Rice Research Institute (IRRI), Los Baños City, Laguna","(049) 536-2701 local 2428"
"Juan Luna Shrine","Badoc, Ilocos Norte",
