"A. Brown Museum of Cagayan de Oro","Upper Balilang, Carmen, Cagayan de Oro City, Misamis Oriental",
"Aga Khan Museum of Islamic Arts","Mindanao State University, Islamic City of Marawi, Lanao del Sur",
"Agusan National High School Museum","Ad Curato St., Butuan City, Agusan del Sur","(085) 342-2008"
"Arch. Antonio Ll. Mabutas Memorabilia","TDM Convent, Km. 3, McArthur Highway, Matina, Davao City","(082) 299-2311"
"Arch. Carmelo D.F. Morelos Memorabilia Gallery","Fr. Saturnino Urios University, Langihan, Butuan City, Agusan del Norte",
"Archdiocese of Cotabato Museum","Archbishop's Palace, Cotabato City",
"ARMM Museum","ARMM Compound, Cotabato City","(064) 421-1470"
"Asian Century Museum","923 Beatriz Bldg., Ochoa Avenue, Butuan City, Agusan del Norte",
"Balobok Rockshelter Museum","Lakit-Lakit, Bongao, Tawi-Tawi","(068) 268-1509"
"Bishop Querexeta Memorabilia","10 C.P. Garcia St., Isabela City, Basilan","(062) 200-7424"
"Bukidnon State University Ethnocultural Museum","Fortich St., Malaybalay City, Bukidnon","(068) 221-2237"
"Butuan Diocesian Liturgical Museum","St. Joseph Cathedral Parish Hall, La Immaculada Concepcion St., Butuan City, Agusan del Norte","(085) 342-4319"
"Cagayan de Oro City Museum (Water Tower Museum)","Gaston Park, Cagayan de Oro City, Misamis Oriental",
"Capitol University Museum of Three Cultures","Cagayan de Oro City, Misamis Oriental","(088) 856-1165, (088) 856-2832"
"Casa Corrales","Mambajao, Camiguin",
"Central Mindanao University Museum","Musuan, Maramag, Bukidnon",
"Children's Museum of Davao City","Tulip Drive, R. Quimpo Boulevard, Matina, Davao City",
"Coastal Environmental Program Marine Center Museum","Guang-Guang Mangrove Park, Mati, Davao Oriental",
"Comm. Romulo Espaldon Naval Station Site Museum & Memorabilia","Bagong Calarian, Zamboanga City",
"Consunji-Rivera Museum","Ladislawa Avenue, Buhangin, Davao City","(082) 227-1096"
"Datu Bangkas Museum of Bagobo Culture","San Salvador St., Plantacion Solariega, Talomo, Davao City","(082) 301-5487"
"Davao Central High School Mini-museum","Sta. Ana Avenue, Davao City",
"Davao Museum of History and Ethnography","Zonta Bldg., 113 Agusan Circle, Insular Village 1, Lanang, Davao City","(082) 233-1734"
"Department of Education Little Museum - Jolo","DepEd District I Office, Scott Road, Jolo, Sulu",
"DXCC Museum","DXCC-Radio Mindanao Network, A. Velez St., Cagayan de Oro City, Misamis Oriental",
"Edades Museum","Ford Academy of the Arts, Ladislawa Ave., Buhangin, Davao City","(082) 227-1096, (082) 224-1835"
"Esperanza Mini-museum","Municipal Hall, Esperanza, Agusan del Sur",
"Familia Ruiz Memorabilia","310 Homobueno St., Plaza Rizal, Poblacion, Glan, Sarangani",
"Fr. Saturnino Urios University Museum","Langihan, Butuan City, Agusan del Norte","(085) 342-1830 local 1958"
"Gallery of the Peninsula and the Archipelago","Ateneo de Zamboanga University, Zamboanga City","(062) 991-0871 local 4301"
"Gen. Alexander Yano Museum","Dipolog City, Zamboanga del Norte",
"Gen. Paulino Santos Museum","Notre Dame of Dadiangas University, Gen. Santos City, South Cotabato","(083) 552-4444, (082) 552-4351 local 2232"
"Gregorio Pelaez House","Medina, Misamis Oriental",
"Handurawan","Sinanduloy Cultural Center, Tangub City, Misamis Occidental","(088) 354-1245"
"Handurawan sa Kagahapon (Museo Tagoloan)","Tagoloan, Misamis Oriental",
"Hans Menzi Museum","Damilag, Manolo Fortich, Bukidnon","(088) 857-6699"
"Holy Cross of Davao College Museum","Davao City","(082) 221-9071 to 79 local 119"
"Iligan City Museum","Mindanao State University, Tibanga, Iligan City, Lanao del Norte",
"Iligan City Women's Ethnic Center Museum","Buhanginan Hills, Iligan City, Lanao del Norte",
"Institute for Indigenous Peoples Education Mini-Museum","Davao City National High School Compound, Mabini Street, Davao City","(082) 224-6957"
"Ireneo Santiago National High School Museum","Niyog St. cor. Magsaysay Avenue, Gen. Santos City, South Cotabato",
"Jose Rizal Shrine - Dapitan","Talisay, Dapitan City, Zamboanga del Norte","(065) 213-6391"
"La Castilla Museum of Filipino Colonial Art","Liceo de Cagayan University, RN Pelaez Blvd.,, Kauswagan, Cagayan de Oro City, Misamis Oriental","(088) 858-4090, (088) 858-4093 local 119"
"Lamitan Municipal Library & Museum (Wee Siu Tuy Memorial Hall Library & Museum)","P. Cuevas St., Lamitan City, Basilan",
"Lamlifew (B'laan) Village Museum","Brgy. Datal Tampal, Malungon, Sarangani",
"Living Heritage of Philippine Indigenous Peoples","University of Southeastern Philippines, Mintal, Davao City","(082) 293-1013"
"Lourdes College Museum","Gen. Nicolas Capistrano St., Cagayan de Oro City, Misamis Oriental","(088) 857-1423 local 112"
"Macapagal-Macaraeg Ancestral House","National Highway, Timoga, Iligan City, Lanao del Norte","(063) 223-6992"
