"Balay na Tisa","385 Sta. Catalina Street, Carcar City, Cebu",
"Balay Negrense Museum","Don Victor Gaston Ancestral House, Cinco de Noviembre St.,, Silay City, Negros Occidental","(034) 714-7676"
"Balay ni Tan Juan Community Museum","Rizal cor. Matti Sts., Poblacion, Bago City, Negros Occidental","(034) 461-0189"
"Balay ni Tana Dicang","36 Rizal Street, Talisay City, Negros Occidental","(034) 495-2104, (034) 712-6800"
"Barili Folk & Heritage Museum","Barili, Cebu","(032) 470-9233"
"Bernardino Jalandoni Museum","Rizal Street, Silay City, Negros Occidental","(034) 495-5093"
"Bugasong Municipal Museum","Bugasong Municipal Hall, Bugasong, Antique",
"Casa Gorordo Museum","35 Lopez Jaena Street, Cebu City","(032) 418-7234 local 532, (032) 255-5630"
"Cathedral Museum of Cebu","Cebu Metropolitan Cathedral Compound, Mabini cor. P. Gomez Sts.,, Cebu City","(032) 412-3455"
"Cebu Normal University Museum","Osmeña Boulevard, Cebu City","(032) 253-6223"
"CWVS Textile Museum","Center for West Visayan Studies, College of Arts and Sciences, UP Visayas, Iloilo City, Iloilo","(033) 338-1894"
"Datu Lubay Toys Museum","1 Progreso St., San Jose, Antique","(036) 540-8731"
"Dizon Ramos Museum","42 Burgos-Lacson St, Bacolod City, Negros Occidental","(034) 434-8512"
"Escalante City Museum","3/F Escalante City Shopping Center, Escalante City, Negros Occidental","(034) 454-0696"
"Halad Museum","J&J Building, D. Jakosalem cor V. Gullas Sts., Cebu City","(032) 268-2579"
"Hofileña Heritage House","14 Cinco de Noviembre Street, Silay City, Negros Occidental","(034) 495-4561"
"Holy Name University Photographic Museum","Gallares & Lesage Sts., Tagbilaran City, Bohol","(038) 411-3432, (038) 412-3764 local 114"
"Iloilo Science Centrum","Iloilo National High School Campus, La Paz, Iloilo City, Iloilo","(033) 320-0164"
"JBLF Library of Cultural Heritage, Marine & Maritime Artifacts","John B. Lacson Foundation Maritime University, M.H. Del Pilar Street, Molo, Iloilo City, Iloilo","(033) 336-5507, (033) 336-5960"
"Museo Antiqueño","Old Capitol Building, San Jose, Antique",
"Museo de Guimaras","Capitol Grounds, San Miguel, Jordan, Guimaras",
"Museo de Sta. Monica","Paseo de Evangelizacion, Panay, Capiz","(036) 621-4287, (036) 643-1487"
"Museo Iloilo","Bonifacio Drive, Iloilo City, Iloilo","(033) 337-2986"
"Museo It Akean","Martelino Street, Kalibo, Aklan","(036) 268-9260"
"Museo Negrense de la Salle","University of St. La Salle, Bacolod City, Negros Occidental","(034) 434-5998"
"Museo Sang Bata sa Negros","Brgy. Old Sagay, Sagay City, Negros Occidental","(034) 457-8003"
"Museo Sang Parokya Sang Nuestra Señora de la Paz","Catholic Parish of Our Lady of Peace, La Paz Street, La Carlota City, Negros Occidental","(034) 460-2365"
"Museum of Philippine Political History - Visayas","M.J. Cuenco Ave., Tejero, Cebu City","(032) 516-2128"
"National Museum - Bohol Branch","Old Capitol Complex, CPG Avenue cor. J.S. Torralba St., Poblacion, Tagbilaran City, Bohol","(038) 501-0488"
"National Museum - Fort San Pedro Branch","Fort San Pedro, Cebu City",
"National Museum - Museo Sugbo","M.J. Cuenco Ave., Tejero, Cebu City","(032) 516-2128"
"Negros Museum","Old Agricultural Building, Gatulao St., Bacolod City, Negros Occidental","(034) 431-9451, (034) 708-5080"
"Panublion Museum","Hughes St., Roxas City, Capiz","(036) 621-2070"
"Rosendo Mejica Museum","251 Lopez Jaena Street, Baluarte Molo, Iloilo City, Iloilo","(033) 335-1588"
"Santa Barbara Centennial Museum and Information Center","Sta. Barbara, Iloilo","(033) 523-9608, (033) 523-8000"
"Silliman University Anthropology Museum","Hibbard Avenue, Dumaguete City, Negros Oriental","(035) 422-6002 local 207"
"Siquijor Heritage Museum","San Isidro Labrador Convent, Parish of San Isidro Labrador, Lazi, Siquijor",
"Sta. Cruz Parish Church Museum","Poblacion, Maribojoc, Bohol","(038) 504-9201"
"University of San Carlos Museum","P. del Rosario Street, Cebu City","(032) 253-1000 local 191"
